run	V(vout_col1)
1.000000000000000e+00	-1.655288e+00
2.000000000000000e+00	-1.661097e+00
3.000000000000000e+00	-1.596906e+00
4.000000000000000e+00	-1.698722e+00
5.000000000000000e+00	-1.655028e+00
6.000000000000000e+00	-1.670010e+00
7.000000000000000e+00	-1.662567e+00
8.000000000000000e+00	-1.683692e+00
9.000000000000000e+00	-1.638767e+00
1.000000000000000e+01	-1.657255e+00
1.100000000000000e+01	-1.738890e+00
1.200000000000000e+01	-1.658089e+00
1.300000000000000e+01	-1.656337e+00
1.400000000000000e+01	-1.642048e+00
1.500000000000000e+01	-1.657525e+00
1.600000000000000e+01	-1.627003e+00
1.700000000000000e+01	-1.667992e+00
1.800000000000000e+01	-1.646973e+00
1.900000000000000e+01	-1.693040e+00
2.000000000000000e+01	-1.598985e+00
